                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.87691,                0.43939,                0.84662,                0.78901,                0.53418,                0.61007,                0.40853,                0.79922,                0.38677,                0.82311,              0.0081388,              0.0081388,              0.0081388
                     49,                0.87125,                0.43531,                0.84754,                0.79006,                0.53801,                0.61322,                0.41175,                0.79741,                0.38582,                0.82231,              0.0080992,              0.0080992,              0.0080992
                     50,                0.87024,                0.43535,                0.84734,                0.78963,                0.53934,                0.61603,                0.41302,                0.79694,                0.38439,                0.82169,              0.0080596,              0.0080596,              0.0080596
                     51,                0.87075,                0.43441,                0.84621,                0.78347,                 0.5381,                0.61463,                0.41355,                0.79567,                0.38504,                0.82194,                0.00802,                0.00802,                0.00802
                     52,                0.86771,                0.43234,                 0.8449,                0.77442,                0.54691,                0.61641,                0.41338,                0.79696,                 0.3831,                0.82104,              0.0079804,              0.0079804,              0.0079804
                     53,                0.86683,                0.43215,                0.84572,                0.77642,                0.54044,                 0.6147,                0.41402,                0.79125,                0.38199,                0.82004,              0.0079408,              0.0079408,              0.0079408
                     54,                0.86552,                 0.4311,                0.84519,                 0.7727,                0.54283,                0.61447,                0.41443,                0.78946,                0.38089,                0.81969,              0.0079012,              0.0079012,              0.0079012
                     55,                0.86135,                0.42957,                0.84405,                 0.7764,                0.54461,                0.61659,                0.41579,                0.78961,                0.37986,                0.82014,              0.0078616,              0.0078616,              0.0078616
                     56,                0.85833,                0.42981,                0.84302,                0.77505,                 0.5476,                0.61557,                0.41518,                0.78812,                0.38049,                0.81954,               0.007822,               0.007822,               0.007822
                     57,                0.86205,                0.42966,                0.84541,                0.77942,                0.54788,                0.61885,                0.41749,                0.78846,                0.37929,                0.81922,              0.0077824,              0.0077824,              0.0077824
                     58,                0.85629,                0.42626,                 0.8428,                0.78131,                0.54969,                 0.6206,                0.41694,                0.78782,                0.37837,                0.81941,              0.0077428,              0.0077428,              0.0077428
                     59,                0.85782,                0.42721,                0.84372,                0.78632,                0.54882,                0.62097,                 0.4197,                0.78486,                0.37762,                0.81895,              0.0077032,              0.0077032,              0.0077032
